coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -73.9940258, 'y': 40.766906}",Wednesday,3,9,2020-02-19 15:10:00+00:00,11th Ave,POINT (-73.9940258 40.766906),15.0,TTL5157911918406007,40.766906,193,-73.99402579999997,12th Ave
"{'x': -73.9992266, 'y': 40.7443433}",Wednesday,2,3,2020-02-19 15:19:00+00:00,8th Ave,POINT (-73.9992266 40.7443433),15.0,TTL5159643129606002,40.7443433,1013,-73.9992266,Park Ave S
"{'x': -73.9989332, 'y': 40.7508214}",Wednesday,2,3,2020-02-19 15:18:00+00:00,Dyer Ave,POINT (-73.9989332 40.7508214),15.0,TTL5159066064013000,40.7508214,601,-73.99893320000002,7th Ave
"{'x': -74.001258, 'y': 40.7562977}",Wednesday,2,3,2020-02-19 15:03:00+00:00,NY-495/Lincoln Tunnel (9th Ave),POINT (-74.00125800000001 40.7562977),15.0,TTL5159643136804026,40.75629770000001,387,-74.00125799999998,Lincoln Tunnel (9th Ave)
"{'x': -73.9987243, 'y': 40.7622498}",Wednesday,1,2,2020-02-19 15:11:00+00:00,NY-9A/12th Ave (50th St),POINT (-73.99872430000001 40.7622498),15.0,TTL5158488998406012,40.7622498,926,-73.9987243,8th Ave (W 50th St)
"{'x': -73.9985814, 'y': 40.763826}",Wednesday,2,3,2020-02-19 15:32:00+00:00,12th Ave,POINT (-73.99858140000001 40.763826),15.0,TTL5159643158406011,40.763826,1192,-73.9985814,7th Ave
"{'x': -73.9907848, 'y': 40.7525664}",Wednesday,3,9,2020-02-19 15:49:00+00:00,35th St/36th St (NY-495),POINT (-73.9907848 40.7525664),15.0,TTL5157334821632000,40.7525664,885,-73.9907848,Toll Plaza (NJ-495)
"{'x': -73.998537, 'y': 40.7555626}",Wednesday,2,3,2020-02-19 15:10:00+00:00,10th Ave (W 42nd St),POINT (-73.998537 40.7555626),15.0,TTL5159066064004087,40.7555626,276,-73.998537,9th Ave (W 42nd St)
"{'x': -73.9893358, 'y': 40.7556103}",Wednesday,2,3,2020-02-19 15:03:00+00:00,NY-495/Lincoln Tunnel (Dyer Ave),POINT (-73.98933580000001 40.7556103),15.0,TTL5159066056804032,40.7556103,243,-73.9893358,42nd St (Dyer Ave)
"{'x': -73.990107, 'y': 40.7594002}",Wednesday,3,9,2020-02-19 16:08:00+00:00,35th St/36th St (Lincoln Tunnel),POINT (-73.99010699999999 40.7594002),16.0,TTL5156757725608005,40.7594002,659,-73.990107,NY--NJ State Border (Lincoln Tunnel)
