coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -73.9739425, 'y': 40.7584166}",Saturday,2,3,2020-02-15 02:48:00+00:00,Park Ave,POINT (-73.97394250000001 40.7584166),2.0,TTL5159643172806006,40.7584166,828,-73.9739425,7th Ave
"{'x': -73.9725061, 'y': 40.7413713}",Saturday,1,2,2020-02-15 02:41:00+00:00,FDR Dr,POINT (-73.9725061 40.7413713),2.0,TTL5161374398406000,40.7413713,651,-73.9725061,3rd Ave
"{'x': -73.9725019, 'y': 40.7594544}",Sunday,0,4,2020-03-15 04:43:59+00:00,Park Ave,POINT (-73.9725019 40.7594544),4.0,TTR5159643172806005,40.7594544,144,-73.97250190000003,Madison Ave
"{'x': -73.980384, 'y': 40.73913}",Saturday,1,2,2020-02-15 02:34:00+00:00,FDR Dr (FDR Dr Service Rd (Waterside Plz)),POINT (-73.980384 40.73913),2.0,TTL5161374360004005,40.73913,178,-73.980384,Avenue C/E 23rd St (FDR Dr Service Rd (Waterside Plz))
"{'x': -73.9717997, 'y': 40.7674126}",Saturday,3,9,2020-02-15 02:50:00+00:00,E 57th St (W 57th St),POINT (-73.97179970000001 40.7674126),2.0,TTL5159066107204006,40.7674126,506,-73.97179969999998,Broadway (W 57th St)
"{'x': -73.9713947, 'y': 40.75073}",Saturday,2,3,2020-02-15 02:40:00+00:00,2nd Ave (E 37th St),POINT (-73.9713947 40.75073),2.0,TTL5160797332804019,40.75073,536,-73.9713947,Park Ave (E 37th St)
"{'x': -73.9711491, 'y': 40.7503924}",Saturday,3,9,2020-02-15 02:34:00+00:00,Queens Midtown Tunl W,POINT (-73.97114910000001 40.7503924),2.0,TTL5160797333612001,40.7503924,258,-73.97114909999998,E 37th St
"{'x': -73.9705922, 'y': 40.7520152}",Saturday,3,9,2020-02-15 02:38:00+00:00,2nd Ave (E 39th St),POINT (-73.9705922 40.7520152),2.0,TTL5160797332805001,40.7520152,372,-73.9705922,5th Ave (E 39th St)
"{'x': -73.9702774, 'y': 40.765067}",Saturday,2,3,2020-02-15 02:41:00+00:00,Madison Ave,POINT (-73.9702774 40.765067),2.0,TTL5159066107206002,40.765067,466,-73.97027740000001,Avenue of the Americas
"{'x': -73.9786459, 'y': 40.7575375}",Saturday,1,2,2020-02-15 02:34:00+00:00,E 57th St (Lexington Ave),POINT (-73.9786459 40.7575375),2.0,TTL5159643165606002,40.7575375,482,-73.9786459,E 42nd St (Lexington Ave)
"{'x': -73.9696176, 'y': 40.7631463}",Saturday,1,2,2020-02-15 02:43:00+00:00,Park Ave,POINT (-73.96961760000001 40.7631463),2.0,TTL5159643172806013,40.7631463,1180,-73.96961759999998,8th Ave
"{'x': -73.9692182, 'y': 40.753915}",Saturday,1,2,2020-02-15 02:34:00+00:00,2nd Ave (E 42nd St),POINT (-73.9692182 40.753915),2.0,TTL5160797332804016,40.753915,372,-73.9692182,Park Ave (E 42nd St)
"{'x': -73.9682204, 'y': 40.7592803}",Saturday,2,3,2020-02-15 02:42:00+00:00,3rd Ave (E 49th St),POINT (-73.96822040000001 40.7592803),2.0,TTL5160220267214000,40.75928029999999,298,-73.9682204,Park Ave (E 49th St)
"{'x': -73.9729819, 'y': 40.7584277}",Saturday,2,3,2020-02-15 02:39:00+00:00,53rd St (2nd Ave),POINT (-73.97298189999999 40.7584277),2.0,TTL5160797325604012,40.7584277,1442,-73.97298190000002,34th St (2nd Ave)
"{'x': -73.9688269, 'y': 40.764504}",Tuesday,0,4,2020-02-18 05:43:59+00:00,Park Ave,POINT (-73.9688269 40.764504),5.0,TTR5159643187206006,40.764504,22,-73.96882690000002,Park Ave
"{'x': -73.9682703, 'y': 40.6999095}",Saturday,1,2,2020-02-15 04:20:00+00:00,Wythe Ave/Exit 31 (I-278),POINT (-73.9682703 40.6999095),4.0,TTL5164836818440003,40.6999095,2174,-73.9682703,Manhattan Bridge/Exit 29A (I-278)
"{'x': -73.9956548, 'y': 40.6852199}",Thursday,0,4,2020-02-20 05:43:59+00:00,Butler St,POINT (-73.9956548 40.6852199),5.0,TTR5164836784806003,40.6852199,51,-73.9956548,Douglass St
"{'x': -73.9915945, 'y': 40.6770712}",Wednesday,0,4,2020-04-01 04:43:59+00:00,Bond St,POINT (-73.99159450000001 40.6770712),4.0,TTR5164836748807001,40.67707120000001,94,-73.99159449999998,Brooklyn
"{'x': -73.9943386, 'y': 40.6928573}",Sunday,0,4,2020-02-16 05:43:59+00:00,Brooklyn,POINT (-73.99433860000001 40.6928573),5.0,TTR5164259716807001,40.6928573,42,-73.99433859999998,Willoughby St
"{'x': -73.9911686, 'y': 40.6837779}",Wednesday,0,4,2020-05-06 04:43:59+00:00,Pacific St (Nevins St),POINT (-73.99116859999999 40.6837779),4.0,TTR5164836756006004,40.6837779,160,-73.9911686,Union St (Nevins St)
"{'x': -73.9857086, 'y': 40.692543}",Wednesday,0,4,2020-03-04 05:43:59+00:00,Jay St,POINT (-73.9857086 40.692543),5.0,TTR5164259709606001,40.692543,28,-73.9857086,Flatbush Avenue Ext
"{'x': -73.9899733, 'y': 40.6931685}",Wednesday,0,4,2020-04-01 04:43:59+00:00,Flatbush Avenue Ext / Tech Pl,POINT (-73.9899733 40.6931685),4.0,TTR5164259715207001,40.6931685,129,-73.9899733,Myrtle Ave / Duffield St
"{'x': -73.9887389, 'y': 40.6961725}",Saturday,2,3,2020-02-15 03:07:00+00:00,Manhattan Bridge/Exit 29A (I-278),POINT (-73.9887389 40.6961725),3.0,TTL5164836827200010,40.6961725,2553,-73.9887389,Wythe Ave/Exit 31 (I-278)
"{'x': -73.9782224, 'y': 40.6787209}",Wednesday,0,4,2020-05-06 04:43:59+00:00,Union St (3rd Ave),POINT (-73.97822240000001 40.6787209),4.0,TTR5164836741605001,40.6787209,80,-73.9782224,Atlantic Ave (3rd Ave)
"{'x': -73.9890541, 'y': 40.6909453}",Thursday,0,4,2020-03-12 04:43:59+00:00,Livingston St,POINT (-73.9890541 40.6909453),4.0,TTR5164836784806005,40.6909453,77,-73.98905409999998,Schermerhorn St
"{'x': -73.9856627, 'y': 40.6949876}",Friday,0,4,2020-04-03 04:43:59+00:00,Flatbush Avenue Ext,POINT (-73.98566270000001 40.6949876),4.0,TTR5164259690407013,40.6949876,74,-73.98566269999998,Brooklyn
"{'x': -73.9873035, 'y': 40.689483}",Wednesday,0,4,2020-02-19 05:43:59+00:00,Flatbush Ave (Nevins St),POINT (-73.9873035 40.689483),5.0,TTR5164836784806004,40.689483,76,-73.98730350000002,Atlantic Ave (Nevins St)
"{'x': -73.9815013, 'y': 40.6946277}",Sunday,0,13,2020-02-16 04:59:59+00:00,Flatbush Avenue Ext (DeKalb Ave),POINT (-73.98150130000001 40.6946277),4.0,TTR5164259695207001,40.6946277,105,-73.98150129999998,Albee Sq (DeKalb Ave)
"{'x': -73.9849876, 'y': 40.6840968}",Friday,0,4,2020-02-28 05:43:59+00:00,Lafayette Ave / 3rd Ave,POINT (-73.9849876 40.6840968),5.0,TTR5165413872806001,40.6840968,60,-73.9849876,Flatbush Ave
"{'x': -73.9832359, 'y': 40.6823081}",Saturday,2,3,2020-02-15 02:34:00+00:00,Nevins St (Flatbush Ave),POINT (-73.9832359 40.6823081),2.0,TTL5165990940012008,40.6823081,473,-73.98323590000003,Grand Army Plz (Grand Army Plz/Flatbush Ave)
"{'x': -73.9713637, 'y': 40.6853844}",Saturday,0,15,2020-02-15 04:59:59+00:00,Grand Army Plz (Grand Army Plz/Flatbush Ave),POINT (-73.9713637 40.6853844),4.0,TTR5165413888804020,40.6853844,16,-73.9713637,Atlantic Ave (Flatbush Ave)
"{'x': -73.969274, 'y': 40.6764266}",Wednesday,0,4,2020-03-04 05:43:59+00:00,Vanderbilt Ave,POINT (-73.969274 40.6764266),5.0,TTR5165990936814001,40.6764266,255,-73.969274,Washington Ave
"{'x': -73.9557927, 'y': 40.6986385}",Sunday,0,6,2020-02-16 02:49:18+00:00,Flushing Ave/Exit 30 (I-278),POINT (-73.9557927 40.6986385),2.0,TTR5164836798400001,40.6986385,163,-73.9557927,Wythe Ave/Exit 31 (I-278)
"{'x': -73.9483787, 'y': 40.675268}",Sunday,0,4,2020-02-23 05:43:59+00:00,Atlantic Ave / Perry Pl,POINT (-73.94837870000001 40.675268),5.0,TTR5167145124006001,40.675268,199,-73.9483787,Nostrand Ave
"{'x': -73.9504805, 'y': 40.6832587}",Sunday,0,4,2020-02-23 05:43:59+00:00,Nostrand Ave (Atlantic Ave),POINT (-73.9504805 40.6832587),5.0,TTR5167145138404001,40.6832587,96,-73.95048050000003,Bedford Ave (Atlantic Ave)
"{'x': -73.9828305, 'y': 40.7604852}",Saturday,2,3,2020-02-15 03:24:00+00:00,57th St (5th Ave),POINT (-73.98283050000001 40.7604852),3.0,TTL5159643165605000,40.7604852,446,-73.9828305,34th St (5th Ave)
"{'x': -74.01175, 'y': 40.7365424}",Saturday,3,9,2020-02-15 03:29:00+00:00,10th Ave,POINT (-74.01175000000001 40.7365424),3.0,TTL5159643100806005,40.7365424,230,-74.01175,9th Ave / W 13th St
"{'x': -74.0008498, 'y': 40.7374482}",Saturday,1,2,2020-02-15 03:24:00+00:00,Gansevoort St (9th Ave),POINT (-74.0008498 40.7374482),3.0,TTL5159643093604000,40.7374482,171,-74.0008498,W 14th St (9th Ave)
"{'x': -74.0061282, 'y': 40.7362387}",Saturday,3,9,2020-02-15 03:24:00+00:00,7th Ave S,POINT (-74.00612820000001 40.7362387),3.0,TTL5160797271206000,40.7362387,195,-74.0061282,Hudson St / Barrow St
"{'x': -73.9981906, 'y': 40.7457845}",Saturday,1,2,2020-02-15 03:30:00+00:00,8th Ave,POINT (-73.9981906 40.7457845),3.0,TTL5159643115214001,40.7457845,267,-73.9981906,9th Ave
"{'x': -73.9947272, 'y': 40.7372508}",Saturday,1,2,2020-02-15 03:24:00+00:00,6th Ave/Avenue of the Americas (Greenwich Ave),POINT (-73.9947272 40.7372508),3.0,TTL5160220184005001,40.7372508,154,-73.9947272,7th Ave/W 11th St (Greenwich Ave)
"{'x': -73.9984579, 'y': 40.7572363}",Saturday,1,2,2020-02-15 03:25:00+00:00,12th Ave,POINT (-73.99845790000001 40.7572363),3.0,TTL5159066064014002,40.7572363,619,-73.9984579,8th Ave
"{'x': -73.9892027, 'y': 40.7419965}",Saturday,2,3,2020-02-15 03:30:00+00:00,5th Ave / E 17th St,POINT (-73.98920270000001 40.7419965),3.0,TTL5160220209614001,40.7419965,584,-73.9892027,7th Ave
"{'x': -73.9866372, 'y': 40.7518869}",Saturday,1,2,2020-02-15 03:25:00+00:00,34th St (8th Ave),POINT (-73.9866372 40.7518869),3.0,TTL5159066028004007,40.7518869,398,-73.9866372,W 42nd St (8th Ave)
"{'x': -73.9884601, 'y': 40.7642569}",Saturday,3,9,2020-02-15 03:24:00+00:00,11th Ave,POINT (-73.9884601 40.7642569),3.0,TTL5158488991207000,40.7642569,17,-73.9884601,W 51st St
"{'x': -73.9855487, 'y': 40.743172}",Saturday,3,9,2020-02-15 03:26:00+00:00,W 23rd St (6th Ave),POINT (-73.9855487 40.743172),3.0,TTL5159643122406007,40.743172,393,-73.98554870000002,W 34th St (6th Ave)
"{'x': -73.9935376, 'y': 40.7568029}",Saturday,1,2,2020-02-15 03:28:00+00:00,9th Ave,POINT (-73.9935376 40.7568029),3.0,TTL5159066064006004,40.7568029,524,-73.9935376,7th Ave
"{'x': -73.9848417, 'y': 40.7299776}",Saturday,3,9,2020-02-15 03:24:00+00:00,4th Ave,POINT (-73.9848417 40.7299776),3.0,TTL5161374348004011,40.7299776,33,-73.9848417,E 12th St
"{'x': -73.9928665, 'y': 40.728588}",Saturday,2,3,2020-02-15 03:24:00+00:00,5th Ave (14th St),POINT (-73.99286650000001 40.728588),3.0,TTL5161374350404004,40.728588,142,-73.9928665,2nd Ave (E 14th St)
"{'x': -73.9951902, 'y': 40.7544469}",Saturday,2,3,2020-02-15 03:24:00+00:00,W 42nd St (7th Ave),POINT (-73.9951902 40.7544469),3.0,TTL5159066042412012,40.7544469,250,-73.9951902,W 23rd St (7th Ave)
"{'x': -73.986535, 'y': 40.737472}",Saturday,2,3,2020-02-15 03:24:00+00:00,2nd Ave (E 14th St),POINT (-73.986535 40.737472),3.0,TTL5161374369604003,40.737472,262,-73.986535,5th Ave (14th St)
"{'x': -73.9851013, 'y': 40.7540311}",Saturday,2,3,2020-02-15 03:26:00+00:00,Broadway (W 34th St),POINT (-73.9851013 40.7540311),3.0,TTL5159643144017019,40.7540311,520,-73.9851013,8th Ave (W 34th St)
"{'x': -73.9835312, 'y': 40.7411426}",Saturday,1,2,2020-02-15 03:24:00+00:00,3rd Ave (E 19th St),POINT (-73.9835312 40.7411426),3.0,TTL5160797304006008,40.7411426,327,-73.9835312,Broadway (E 19th St)
"{'x': -73.9810678, 'y': 40.7569647}",Monday,0,13,2020-02-17 04:59:59+00:00,W 46th St,POINT (-73.98106780000001 40.7569647),4.0,TTR5159066056807002,40.75696470000001,37,-73.98106779999998,Manhattan
"{'x': -73.9827395, 'y': 40.7392736}",Saturday,1,2,2020-02-15 03:24:00+00:00,3rd Ave,POINT (-73.98273949999999 40.7392736),3.0,TTL5160797275206015,40.7392736,305,-73.98273950000002,Union Sq E / Park Ave S
"{'x': -73.9805774, 'y': 40.7414505}",Saturday,1,2,2020-02-15 03:44:00+00:00,2nd Ave,POINT (-73.9805774 40.7414505),3.0,TTL5160797304006005,40.7414505,1519,-73.98057740000002,8th Ave
"{'x': -73.9859139, 'y': 40.7519261}",Saturday,1,2,2020-02-15 03:24:00+00:00,Avenue of the Americas,POINT (-73.9859139 40.7519261),3.0,TTL5159643158406010,40.7519261,440,-73.98591390000001,Madison Ave
"{'x': -73.9795984, 'y': 40.7492326}",Saturday,1,2,2020-02-15 03:31:00+00:00,2nd Ave (E 31st St),POINT (-73.9795984 40.7492326),3.0,TTL5159643144006003,40.7492326,1452,-73.9795984,NY-495/Lincoln Tunnel Expy/Dyer Ave (W 31st St)
"{'x': -73.978455, 'y': 40.757813}",Saturday,1,2,2020-02-15 03:31:00+00:00,Park Ave (E 42nd St),POINT (-73.978455 40.757813),3.0,TTL5159066078412005,40.757813,1075,-73.97845500000003,9th Ave (W 42nd St)
"{'x': -73.9764151, 'y': 40.7611153}",Saturday,1,2,2020-02-15 03:29:00+00:00,5th Ave / E 47th St,POINT (-73.9764151 40.7611153),3.0,TTL5159643172806021,40.7611153,880,-73.9764151,9th Ave
"{'x': -73.9820422, 'y': 40.7403464}",Saturday,2,3,2020-02-15 03:24:00+00:00,E Park Ave S (W 32nd St),POINT (-73.9820422 40.7403464),3.0,TTL5160220195206020,40.7403464,217,-73.9820422,2nd Ave (E 32nd St)
"{'x': -73.9751108, 'y': 40.7671238}",Saturday,1,2,2020-02-15 03:24:00+00:00,Avenue of the Americas,POINT (-73.9751108 40.7671238),3.0,TTL5159066107206000,40.76712379999999,393,-73.9751108,Broadway
"{'x': -73.975001, 'y': 40.7637927}",Saturday,2,3,2020-02-15 03:30:00+00:00,5th Ave (51st St),POINT (-73.97500100000001 40.7637927),3.0,TTL5159643172806001,40.7637927,463,-73.975001,Broadway (W 51st St)
"{'x': -73.9831353, 'y': 40.7543131}",Sunday,0,13,2022-01-02 04:59:59+00:00,E 42nd St (Park Ave),POINT (-73.9831353 40.7543131),4.0,TTR5159643136805003,40.7543131,33,-73.9831353,E 34th St (Park Ave)
"{'x': -73.9746794, 'y': 40.7620149}",Saturday,2,3,2020-02-15 03:30:00+00:00,5th Ave (49th St),POINT (-73.9746794 40.7620149),3.0,TTL5159643172806009,40.7620149,584,-73.97467940000001,7th Ave (W 49th St)
"{'x': -73.982462, 'y': 40.7562028}",Saturday,2,3,2020-02-15 03:24:00+00:00,E 57th St (Park Ave),POINT (-73.982462 40.7562028),3.0,TTL5159643133605000,40.7562028,377,-73.982462,E 34th St (Park Ave)
"{'x': -73.9739425, 'y': 40.7584166}",Saturday,1,2,2020-02-15 03:37:00+00:00,Park Ave,POINT (-73.97394250000001 40.7584166),3.0,TTL5159643172814002,40.7584166,828,-73.9739425,7th Ave
"{'x': -73.9731527, 'y': 40.751504}",Saturday,1,2,2020-02-15 03:24:00+00:00,2nd Ave (E 37th St),POINT (-73.9731527 40.751504),3.0,TTL5160797332804051,40.751504,214,-73.9731527,Park Ave (E 37th St)
"{'x': -73.9704073, 'y': 40.7466403}",Saturday,1,2,2020-02-15 03:25:00+00:00,E 34th St (3rd Ave),POINT (-73.97040730000001 40.7466403),3.0,TTL5160220216804001,40.7466403,885,-73.97040729999998,E 57th St (3rd Ave)
"{'x': -73.9717997, 'y': 40.7674126}",Saturday,2,3,2020-02-15 03:34:00+00:00,E 57th St (W 57th St),POINT (-73.97179970000001 40.7674126),3.0,TTL5159066107204018,40.7674126,506,-73.97179969999998,Broadway (W 57th St)
"{'x': -73.9771622, 'y': 40.7498803}",Saturday,1,2,2020-02-15 03:24:00+00:00,Lexington Ave,POINT (-73.9771622 40.7498803),3.0,TTL5159643129606011,40.7498803,371,-73.9771622,2nd Ave
"{'x': -73.978229, 'y': 40.758113}",Saturday,2,3,2020-02-15 03:29:00+00:00,E 57th St (Lexington Ave),POINT (-73.978229 40.758113),3.0,TTL5159643136806001,40.758113,646,-73.978229,E 39th St (Lexington Ave)
"{'x': -73.9696648, 'y': 40.7631692}",Saturday,1,2,2020-02-15 03:43:00+00:00,Park Ave,POINT (-73.9696648 40.7631692),3.0,TTL5159643172806013,40.76316920000001,1159,-73.96966479999998,8th Ave
"{'x': -73.9696901, 'y': 40.7475323}",Saturday,1,2,2020-02-15 03:24:00+00:00,FDR Dr (E 34th St),POINT (-73.96969009999999 40.7475323),3.0,TTL5160797304009002,40.7475323,245,-73.9696901,I-495/Tunnel Exit St (E 34th St)
"{'x': -73.9692182, 'y': 40.753915}",Saturday,2,3,2020-02-15 03:33:00+00:00,2nd Ave (E 42nd St),POINT (-73.9692182 40.753915),3.0,TTL5160797332804014,40.753915,592,-73.9692182,6th Ave/Avenue of the Americas (W 42nd St)
"{'x': -73.9680484, 'y': 40.7559449}",Saturday,1,2,2020-02-15 03:24:00+00:00,2nd Ave (E 45th St),POINT (-73.9680484 40.7559449),3.0,TTL5160797332806003,40.7559449,346,-73.9680484,Lexington Ave (E 45th St)
"{'x': -73.9725779, 'y': 40.7589907}",Saturday,1,2,2020-02-15 03:28:00+00:00,53rd St (2nd Ave),POINT (-73.9725779 40.7589907),3.0,TTL5160220231213001,40.7589907,636,-73.9725779,42nd St (2nd Ave)
"{'x': -74.0096292, 'y': 40.7062537}",Sunday,0,11,2020-02-16 04:59:00+00:00,South St (West St/NY-9A),POINT (-74.00962920000001 40.7062537),4.0,TTR5161374288809001,40.7062537,685,-74.0096292,Chambers St (West St/NY-9A)
"{'x': -74.0142988, 'y': 40.7144751}",Saturday,0,4,2020-02-15 10:45:00+00:00,West St / Albany St,POINT (-74.01429880000001 40.7144751),10.0,TTR5161374310406001,40.7144751,112,-74.0142988,Albany St / S End Ave
"{'x': -74.0151163, 'y': 40.712157}",Tuesday,0,4,2020-02-18 05:43:59+00:00,Washington St,POINT (-74.0151163 40.712157),5.0,TTR5161374282406002,40.712157,72,-74.01511629999997,West St
"{'x': -74.0204534, 'y': 40.7130608}",Sunday,0,4,2020-02-16 04:59:00+00:00,Chambers St (West St/NY-9A),POINT (-74.02045339999999 40.7130608),4.0,TTR5161374303201001,40.7130608,21,-74.02045340000002,Brooklyn Battery Tunnel (West St/NY-9A)
"{'x': -74.0183108, 'y': 40.6912088}",Sunday,0,15,2023-01-01 04:59:59+00:00,Trinity Pl/West St (Brooklyn Battery Tunnel),POINT (-74.01831079999999 40.6912088),4.0,TTR5163105526401001,40.6912088,45,-74.0183108,Toll Plaza (Brooklyn Battery Tunnel)
"{'x': -74.0183108, 'y': 40.6912088}",Sunday,0,15,2023-01-01 04:59:00+00:00,Trinity Pl/West St (Brooklyn Battery Tunnel),POINT (-74.01831079999999 40.6912088),4.0,TTR5163105526401000,40.6912088,45,-74.0183108,Toll Plaza (Brooklyn Battery Tunnel)
"{'x': -74.0092426, 'y': 40.7162753}",Monday,4,5,2020-03-16 03:59:00+00:00,Greenwich St,POINT (-74.00924259999999 40.7162753),3.0,TTR5161374312007002,40.7162753,204,-74.0092426,West St
"{'x': -74.0056839, 'y': 40.7123597}",Monday,0,12,2020-03-09 04:43:59+00:00,Greenwich St,POINT (-74.00568389999999 40.7123597),4.0,TTR5161374288807001,40.7123597,68,-74.00568390000002,Barclay St / Greenwich St
"{'x': -74.0177968, 'y': 40.71432}",Saturday,0,4,2020-05-09 04:43:59+00:00,Barclay St,POINT (-74.0177968 40.71432),4.0,TTR5161374303207000,40.71432,68,-74.0177968,Manhattan
"{'x': -74.0073151, 'y': 40.7094535}",Monday,0,12,2020-03-09 04:43:59+00:00,Manhattan,POINT (-74.0073151 40.7094535),4.0,TTR5161374291207001,40.7094535,76,-74.0073151,Barclay St
"{'x': -74.0051766, 'y': 40.727765}",Saturday,3,9,2020-02-15 03:24:00+00:00,N River Piers,POINT (-74.0051766 40.727765),3.0,TTL5160220168007000,40.72776500000001,56,-74.0051766,West St / W Houston St
"{'x': -74.0074367, 'y': 40.7201426}",Monday,0,12,2020-03-09 04:43:59+00:00,Hudson St/W Broadway (Chambers St),POINT (-74.0074367 40.7201426),4.0,TTR5160797217604001,40.7201426,76,-74.00743670000001,NY-9A/West St (Chambers St)
"{'x': -74.0040789, 'y': 40.7235706}",Sunday,0,4,2020-03-08 05:43:59+00:00,Laight St,POINT (-74.0040789 40.7235706),5.0,TTR5160797223206001,40.7235706,102,-74.00407890000002,Canal St
"{'x': -74.0133894, 'y': 40.7081123}",Friday,0,13,2021-01-01 04:59:59+00:00,Church St,POINT (-74.01338939999999 40.7081123),4.0,TTR5161374297604000,40.7081123,76,-74.01338940000002,Broadway / Park Row
"{'x': -74.0057678, 'y': 40.7148668}",Friday,0,13,2021-01-01 04:59:59+00:00,Broadway (Fulton St),POINT (-74.0057678 40.7148668),4.0,TTR5161951406406004,40.7148668,137,-74.0057678,Church St (Fulton St)
"{'x': -74.0056413, 'y': 40.7163503}",Saturday,0,4,2020-05-09 04:43:59+00:00,Broadway/Park Row (Barclay St),POINT (-74.00564129999999 40.7163503),4.0,TTR5161374312013001,40.7163503,272,-74.0056413,NY-9A/West Side Hwy/West St (Barclay St)
"{'x': -74.0031173, 'y': 40.7119554}",Monday,0,12,2020-03-09 04:43:59+00:00,Vesey St (Church St),POINT (-74.0031173 40.7119554),4.0,TTR5161951384804001,40.7119554,73,-74.0031173,Chambers St (Church St)
"{'x': -74.0115066, 'y': 40.7070953}",Tuesday,0,4,2020-03-03 05:43:59+00:00,Broadway/Park Row (Ann St),POINT (-74.0115066 40.7070953),5.0,TTR5161951392806001,40.7070953,42,-74.0115066,Gold St (Ann St)
"{'x': -74.0106406, 'y': 40.7135905}",Wednesday,0,12,2020-04-01 04:43:59+00:00,Hudson St (Worth St/Justice John M Harlan Way),POINT (-74.0106406 40.7135905),4.0,TTR5161374297612001,40.7135905,446,-74.0106406,Lafayette St/Centre St (Worth St)
"{'x': -74.0065424, 'y': 40.7319639}",Monday,0,4,2020-03-02 05:43:59+00:00,Hudson St,POINT (-74.0065424 40.7319639),5.0,TTR5160220150406001,40.7319639,130,-74.00654240000001,W Houston St / Greenwich St
"{'x': -74.0008763, 'y': 40.7240767}",Saturday,1,2,2020-02-15 03:24:00+00:00,Broome St (Holland Tunnel (Westbound)),POINT (-74.0008763 40.7240767),3.0,TTL5159065992009002,40.72407670000001,2949,-74.00087629999999,14th St/Boyle Plz (Holland Tunnel (Westbound))
"{'x': -74.0120073, 'y': 40.7161014}",Monday,0,12,2020-03-02 05:43:59+00:00,Chambers St (Broadway),POINT (-74.01200729999999 40.7161014),5.0,TTR5161951399204002,40.7161014,42,-74.0120073,Park Row/Vesey St/Ann St (Broadway)
"{'x': -74.0030373, 'y': 40.7134945}",Tuesday,0,10,2020-03-17 04:43:59+00:00,Gold St (Fulton St),POINT (-74.0030373 40.7134945),4.0,TTR5161951406406003,40.7134945,65,-74.0030373,Broadway (Fulton St)
"{'x': -74.0051461, 'y': 40.7296712}",Tuesday,0,15,2020-02-18 04:59:59+00:00,Varick St,POINT (-74.0051461 40.7296712),4.0,TTR5161374339206000,40.72967120000001,75,-74.00514609999998,Holland Tunl W
"{'x': -73.9997166, 'y': 40.7204858}",Tuesday,4,5,2020-02-18 05:44:00+00:00,Beach St,POINT (-73.9997166 40.7204858),5.0,TTR5161374317607003,40.72048579999999,75,-73.9997166,Laight St
"{'x': -73.9993669, 'y': 40.7231926}",Tuesday,0,13,2020-02-18 04:59:59+00:00,Canal St/Laight St (Avenue of the Americas/6th Ave),POINT (-73.9993669 40.7231926),4.0,TTR5161374344804003,40.7231926,46,-73.99936690000001,Watts St (Avenue of the Americas/6th Ave)
"{'x': -74.0024597, 'y': 40.7308186}",Tuesday,0,4,2020-03-03 05:43:59+00:00,Avenue of the Americas,POINT (-74.0024597 40.7308186),5.0,TTR5160797244814001,40.7308186,312,-74.0024597,Hudson St
"{'x': -73.9980995, 'y': 40.7178136}",Thursday,0,4,2020-03-05 05:43:59+00:00,Canal St,POINT (-73.9980995 40.7178136),5.0,TTR5161374319206001,40.7178136,164,-73.9980995,Broome St
"{'x': -73.9966949, 'y': 40.7276144}",Saturday,1,2,2020-02-15 03:25:00+00:00,W Houston St (Avenue of the Americas/6th Ave),POINT (-73.99669489999999 40.7276144),3.0,TTL5160797252804000,40.7276144,1002,-73.99669490000002,W 13th St (6th Ave)
"{'x': -74.0054478, 'y': 40.7112155}",Tuesday,4,5,2020-03-31 04:00:00+00:00,Centre St,POINT (-74.0054478 40.7112155),4.0,TTR5161951392011001,40.7112155,350,-74.0054478,Saint James Pl / Chatham Sq
"{'x': -74.006117, 'y': 40.715987}",Saturday,1,2,2020-02-15 03:26:00+00:00,Broadway (Canal St),POINT (-74.006117 40.715987),3.0,TTL5161374297603025,40.715987,457,-74.006117,Manhattan Bridge (Canal St)
"{'x': -74.005715, 'y': 40.7058543}",Monday,0,4,2020-03-02 05:43:59+00:00,Front St,POINT (-74.005715 40.7058543),5.0,TTR5161951365605001,40.70585429999999,53,-74.00571500000002,South St
"{'x': -73.9983794, 'y': 40.7086172}",Wednesday,0,12,2020-04-01 04:43:59+00:00,Frankfort St (Park Row),POINT (-73.9983794 40.7086172),4.0,TTR5161951388807001,40.7086172,73,-73.9983794,Oliver St/Worth St (Park Row)
"{'x': -73.9977723, 'y': 40.7206808}",Saturday,1,2,2020-02-15 03:25:00+00:00,Broadway (Houston St),POINT (-73.99777229999999 40.7206808),3.0,TTL5161951420004034,40.7206808,659,-73.9977723,1st Ave (E Houston St)
"{'x': -73.9914144, 'y': 40.6969279}",Saturday,2,3,2020-02-15 05:55:00+00:00,Atlantic Ave/Exit 27 (I-278),POINT (-73.9914144 40.6969279),5.0,TTL5164836804000009,40.6969279,3026,-73.99141440000002,Flushing Ave/Exit 30 (I-278)
"{'x': -73.9891129, 'y': 40.7233085}",Sunday,0,4,2020-02-23 05:43:59+00:00,E Houston St,POINT (-73.98911289999999 40.7233085),5.0,TTR5161951412806002,40.7233085,99,-73.98911290000002,Bleecker St
"{'x': -73.9922225, 'y': 40.6966226}",Saturday,0,4,2020-02-29 04:59:00+00:00,exit [28A],POINT (-73.9922225 40.6966226),4.0,TTR5163105548004001,40.69662260000001,98,-73.9922225,exit [28A]
"{'x': -73.9994088, 'y': 40.7046744}",Monday,0,4,2020-02-17 05:43:59+00:00,Old Fulton St,POINT (-73.9994088 40.7046744),5.0,TTR5163105558407001,40.7046744,63,-73.9994088,Everit St / Doughty St
